plot_id,month,evi2,forest.type,stage
1,Jan,0.5375214777061467,FOD,Estádio Avançado de Regeneração
10,Jan,NA,FOD,Estádio Médio de Regeneração
15,Jan,NA,FOD,Estádio Avançado de Regeneração
21,Jan,0.49882375344795116,FOD,Estádio Médio de Regeneração
28,Jan,0.6210573952252548,FOD,Estádio Médio de Regeneração
30,Jan,0.4716796855143369,FOD,Estádio Avançado de Regeneração
37,Jan,0.5083784909194614,FOD,Estádio Avançado de Regeneração
39,Jan,0.5238860756062133,FOD,Estádio Avançado de Regeneração
41,Jan,0.5311099860721463,FOD,Estádio Médio de Regeneração
47,Jan,0.5255935252169103,FOD,Estádio Avançado de Regeneração
51,Jan,0.5262430819028897,FOD,Estádio Avançado de Regeneração
59,Jan,0.5981806232194415,FOD,Estádio Médio de Regeneração
69,Jan,0.35774443050867244,FOM,Estádio Médio de Regeneração
70,Jan,NA,FOM,Estádio Médio de Regeneração
85,Jan,0.48478173921487233,FOM,Estádio Avançado de Regeneração
89,Jan,NA,FOM,Estádio Avançado de Regeneração
97,Jan,0.5917116227898004,FOD,Estádio Médio de Regeneração
98,Jan,0.6553895095230565,FOD,Estádio Avançado de Regeneração
104,Jan,0.5578932071155785,FOM,Estádio Avançado de Regeneração
113,Jan,NA,FOM,Estádio Médio de Regeneração
114,Jan,0.33628676496486637,FOM,Estádio Médio de Regeneração
117,Jan,0.5296912806776997,FOD,Estádio Avançado de Regeneração
118,Jan,0.5805869125012048,FOD,Estádio Médio de Regeneração
119,Jan,0.4667422526385358,FOD,Estádio Avançado de Regeneração
122,Jan,0.5867759924031027,FOD,Estádio Médio de Regeneração
123,Jan,NA,FOD,Estádio Médio de Regeneração
134,Jan,0.5057852110254616,FOM,Estádio Avançado de Regeneração
137,Jan,0.4327598483617059,FOM,Estádio Avançado de Regeneração
140,Jan,0.32090778265723563,FOM,Estádio Médio de Regeneração
143,Jan,0.5878641791598861,FOD,Estádio Avançado de Regeneração
146,Jan,0.5667020731764458,FOD,Estádio Médio de Regeneração
147,Jan,0.5745686277041239,FOD,Estádio Avançado de Regeneração
148,Jan,NA,FOD,Estádio Médio de Regeneração
165,Jan,0.4543851491596676,FOM,Estádio Avançado de Regeneração
166,Jan,0.39345979969336653,FOM,Estádio Médio de Regeneração
167,Jan,0.5694705951149234,FOM,Estádio Avançado de Regeneração
170,Jan,0.6629692390607245,FOD,Estádio Avançado de Regeneração
172,Jan,NA,FOD,Estádio Médio de Regeneração
173,Jan,NA,FOD,Estádio Médio de Regeneração
175,Jan,NA,FOD,Estádio Médio de Regeneração
177,Jan,0.5101131661798394,FOM,Estádio Médio de Regeneração
188,Jan,NA,FOM,Estádio Avançado de Regeneração
191,Jan,0.5092416396500925,FOM,Estádio Avançado de Regeneração
192,Jan,0.3859901808123173,FOM,Estádio Avançado de Regeneração
193,Jan,0.39742372647250584,FOM,Estádio Médio de Regeneração
194,Jan,0.5587179547324498,FOD,Estádio Avançado de Regeneração
196,Jan,0.5034506408864469,FOD,Estádio Avançado de Regeneração
197,Jan,NA,FOD,Estádio Avançado de Regeneração
198,Jan,NA,FOD,Estádio Avançado de Regeneração
199,Jan,NA,FOD,Estádio Avançado de Regeneração
208,Jan,NA,FOM,Estádio Médio de Regeneração
211,Jan,0.559841363590302,FOM,Estádio Avançado de Regeneração
214,Jan,NA,FOM,Estádio Avançado de Regeneração
217,Jan,0.5018058737006615,FOM,Estádio Avançado de Regeneração
218,Jan,0.6065552642685623,FOM,Estádio Médio de Regeneração
221,Jan,0.5357147798373743,FOD,Estádio Médio de Regeneração
225,Jan,NA,FOM,Estádio Avançado de Regeneração
246,Jan,0.4945508841959344,FOM,Estádio Avançado de Regeneração
249,Jan,NA,FOM,Estádio Avançado de Regeneração
253,Jan,NA,FOD,Estádio Médio de Regeneração
256,Jan,NA,FOD,Estádio Avançado de Regeneração
260,Jan,0.44994040780196254,FOM,Estádio Avançado de Regeneração
261,Jan,NA,FOM,Estádio Médio de Regeneração
279,Jan,0.5367078406272195,FOM,Estádio Médio de Regeneração
285,Jan,NA,FOD,Estádio Médio de Regeneração
287,Jan,NA,FOD,Estádio Médio de Regeneração
297,Jan,0.5198907187795401,FOM,Estádio Avançado de Regeneração
304,Jan,NA,FOM,Estádio Avançado de Regeneração
308,Jan,0.5051454517183928,FOM,Estádio Médio de Regeneração
311,Jan,0.5026389246527464,FOM,Estádio Médio de Regeneração
313,Jan,0.42984125468277806,FOM,Estádio Médio de Regeneração
314,Jan,0.5882124752813445,FOD,Estádio Avançado de Regeneração
316,Jan,NA,FOD,Estádio Avançado de Regeneração
318,Jan,NA,FOD,Estádio Médio de Regeneração
321,Jan,NA,FOM,Estádio Avançado de Regeneração
328,Jan,NA,FOM,Estádio Avançado de Regeneração
337,Jan,0.48349707304232425,FOM,Estádio Médio de Regeneração
340,Jan,0.5358284628780933,FOD,Estádio Médio de Regeneração
345,Jan,0.4693210698603771,FOM,Estádio Médio de Regeneração
346,Jan,0.3574440029115907,FOM,Estádio Médio de Regeneração
347,Jan,0.4770717467282598,FOD,Estádio Médio de Regeneração
348,Jan,0.5186861005125163,FOD,Estádio Avançado de Regeneração
349,Jan,0.44795516772221505,FOD,Estádio Avançado de Regeneração
350,Jan,NA,FOD,Estádio Médio de Regeneração
365,Jan,NA,FOM,Estádio Médio de Regeneração
367,Jan,NA,FOM,Estádio Avançado de Regeneração
369,Jan,NA,FOM,Estádio Médio de Regeneração
385,Jan,0.4407523181941912,FOD,Estádio Médio de Regeneração
388,Jan,0.4437370041661514,FOD,Estádio Avançado de Regeneração
390,Jan,0.4861933929882501,FOD,Estádio Médio de Regeneração
395,Jan,NA,FOM,Estádio Médio de Regeneração
398,Jan,0.5722805275789847,FED,Estádio Avançado de Regeneração
409,Jan,NA,FOM,Estádio Avançado de Regeneração
413,Jan,0.6292005038319042,FOM,Estádio Avançado de Regeneração
415,Jan,0.2868131107028149,FOM,Estádio Avançado de Regeneração
419,Jan,NA,FOM,Estádio Médio de Regeneração
421,Jan,0.4461065573636875,FOD,Estádio Avançado de Regeneração
422,Jan,0.544526673949668,FOD,Estádio Médio de Regeneração
423,Jan,0.5397237727512874,FOD,Estádio Médio de Regeneração
424,Jan,0.62289040362639,FOD,Estádio Médio de Regeneração
425,Jan,0.546872900481075,FOD,Estádio Avançado de Regeneração
428,Jan,0.5873800077520722,FOD,Estádio Avançado de Regeneração
429,Jan,NA,FOD,Estádio Avançado de Regeneração
438,Jan,NA,FED,Estádio Médio de Regeneração
442,Jan,NA,FOM,Estádio Médio de Regeneração
450,Jan,0.5122684572293104,FOM,Estádio Avançado de Regeneração
453,Jan,NA,FOM,Estádio Avançado de Regeneração
455,Jan,NA,FOM,Estádio Avançado de Regeneração
456,Jan,NA,FOM,Estádio Avançado de Regeneração
457,Jan,NA,FOD,Estádio Médio de Regeneração
460,Jan,NA,FOD,Estádio Médio de Regeneração
464,Jan,0.5542680291832087,FOD,Estádio Avançado de Regeneração
465,Jan,0.5847168119956216,FOD,Estádio Avançado de Regeneração
466,Jan,0.5600363592666792,FOD,Estádio Avançado de Regeneração
467,Jan,0.4763640368415719,FOD,Estádio Avançado de Regeneração
468,Jan,NA,FOD,Estádio Avançado de Regeneração
483,Jan,NA,FOM,Estádio Médio de Regeneração
494,Jan,0.5715355708329332,FED,Estádio Avançado de Regeneração
495,Jan,NA,FOM,Estádio Médio de Regeneração
507,Jan,NA,FOD,Estádio Avançado de Regeneração
