"","UA","Long","Lat","stage","forest.type"
"1","1",584552,6764019,"Estádio Avançado de Regeneração","FOD"
"3","10",610962,6783721,"Estádio Médio de Regeneração","FOD"
"4","15",611152,6793749,"Estádio Avançado de Regeneração","FOD"
"5","21",611157,6803667,"Estádio Médio de Regeneração","FOD"
"8","28",611252,6813639,"Estádio Médio de Regeneração","FOD"
"9","30",628812,6813463,"Estádio Avançado de Regeneração","FOD"
"11","37",620128,6823515,"Estádio Avançado de Regeneração","FOD"
"12","39",637858,6823558,"Estádio Avançado de Regeneração","FOD"
"14","41",655399,6823199,"Estádio Médio de Regeneração","FOD"
"15","47",637830,6833303,"Estádio Avançado de Regeneração","FOD"
"18","51",672837,6832914,"Estádio Avançado de Regeneração","FOD"
"20","59",655286,6843459,"Estádio Médio de Regeneração","FOD"
"21","69",603048,6853714,"Estádio Médio de Regeneração","FOM"
"22","70",611754,6853750,"Estádio Médio de Regeneração","FOM"
"26","85",558797,6863857,"Estádio Avançado de Regeneração","FOM"
"28","89",594038,6863831,"Estádio Avançado de Regeneração","FOM"
"30","97",664749,6863080,"Estádio Médio de Regeneração","FOD"
"31","98",673283,6862457,"Estádio Avançado de Regeneração","FOD"
"32","104",532356,6873928,"Estádio Avançado de Regeneração","FOM"
"33","113",611663,6873397,"Estádio Médio de Regeneração","FOM"
"34","114",620739,6873322,"Estádio Médio de Regeneração","FOM"
"35","117",647185,6873061,"Estádio Avançado de Regeneração","FOD"
"36","118",655777,6872997,"Estádio Médio de Regeneração","FOD"
"37","119",664881,6872764,"Estádio Avançado de Regeneração","FOD"
"38","122",691362,6872505,"Estádio Médio de Regeneração","FOD"
"39","123",700163,6872033,"Estádio Médio de Regeneração","FOD"
"40","134",585365,6883669,"Estádio Avançado de Regeneração","FOM"
"41","137",611717,6883539,"Estádio Avançado de Regeneração","FOM"
"43","140",638415,6883130,"Estádio Médio de Regeneração","FOM"
"46","143",664711,6882814,"Estádio Avançado de Regeneração","FOD"
"47","146",691457,6882504,"Estádio Médio de Regeneração","FOD"
"48","147",700454,6882450,"Estádio Avançado de Regeneração","FOD"
"49","148",709102,6882188,"Estádio Médio de Regeneração","FOD"
"50","165",638429,6892855,"Estádio Avançado de Regeneração","FOM"
"51","166",647551,6892704,"Estádio Médio de Regeneração","FOM"
"52","167",656229,6892879,"Estádio Avançado de Regeneração","FOM"
"53","170",683065,6892479,"Estádio Avançado de Regeneração","FOD"
"54","172",700380,6892180,"Estádio Médio de Regeneração","FOD"
"55","173",709308,6892108,"Estádio Médio de Regeneração","FOD"
"57","175",726991,6891780,"Estádio Médio de Regeneração","FOD"
"58","177",523775,6903793,"Estádio Médio de Regeneração","FOM"
"59","188",621182,6903279,"Estádio Avançado de Regeneração","FOM"
"60","191",648274,6900448,"Estádio Avançado de Regeneração","FOM"
"61","192",656140,6902649,"Estádio Avançado de Regeneração","FOM"
"62","193",665207,6902895,"Estádio Médio de Regeneração","FOM"
"63","194",673973,6902690,"Estádio Avançado de Regeneração","FOD"
"64","196",691888,6902478,"Estádio Avançado de Regeneração","FOD"
"65","197",700623,6901799,"Estádio Avançado de Regeneração","FOD"
"66","198",709504,6902068,"Estádio Avançado de Regeneração","FOD"
"67","199",718336,6901933,"Estádio Avançado de Regeneração","FOD"
"69","208",559057,6913701,"Estádio Médio de Regeneração","FOM"
"70","211",585677,6913526,"Estádio Avançado de Regeneração","FOM"
"71","214",612195,6913353,"Estádio Avançado de Regeneração","FOM"
"72","217",638770,6913076,"Estádio Avançado de Regeneração","FOM"
"73","218",647873,6912827,"Estádio Médio de Regeneração","FOM"
"74","221",674196,6912608,"Estádio Médio de Regeneração","FOD"
"75","225",709451,6912244,"Estádio Avançado de Regeneração","FOM"
"78","246",638885,6923047,"Estádio Avançado de Regeneração","FOM"
"79","249",665273,6922519,"Estádio Avançado de Regeneração","FOM"
"81","253",700864,6922217,"Estádio Médio de Regeneração","FOD"
"84","256",727565,6921699,"Estádio Avançado de Regeneração","FOD"
"85","260",488456,6934156,"Estádio Avançado de Regeneração","FOM"
"86","261",497167,6934091,"Estádio Médio de Regeneração","FOM"
"87","279",656822,6932569,"Estádio Médio de Regeneração","FOM"
"90","285",709847,6932136,"Estádio Médio de Regeneração","FOD"
"92","287",727513,6931929,"Estádio Médio de Regeneração","FOD"
"93","297",541566,6943488,"Estádio Avançado de Regeneração","FOM"
"95","304",603547,6943264,"Estádio Avançado de Regeneração","FOM"
"96","308",639113,6942989,"Estádio Médio de Regeneração","FOM"
"99","311",665712,6942532,"Estádio Médio de Regeneração","FOM"
"101","313",683107,6942442,"Estádio Médio de Regeneração","FOM"
"102","314",692469,6942231,"Estádio Avançado de Regeneração","FOD"
"103","316",710162,6941965,"Estádio Avançado de Regeneração","FOD"
"105","318",727778,6941649,"Estádio Médio de Regeneração","FOD"
"106","321",452605,6953660,"Estádio Avançado de Regeneração","FOM"
"107","328",514903,6953834,"Estádio Avançado de Regeneração","FOM"
"109","337",594834,6953344,"Estádio Médio de Regeneração","FOM"
"110","340",621391,6953137,"Estádio Médio de Regeneração","FOD"
"113","345",666220,6952915,"Estádio Médio de Regeneração","FOM"
"114","346",674998,6952602,"Estádio Médio de Regeneração","FOM"
"115","347",683666,6952377,"Estádio Médio de Regeneração","FOD"
"116","348",692561,6952240,"Estádio Avançado de Regeneração","FOD"
"117","349",701448,6952090,"Estádio Avançado de Regeneração","FOD"
"118","350",710324,6952015,"Estádio Médio de Regeneração","FOD"
"121","365",505858,6963753,"Estádio Médio de Regeneração","FOM"
"122","367",523541,6963615,"Estádio Avançado de Regeneração","FOM"
"123","369",541471,6963598,"Estádio Médio de Regeneração","FOM"
"128","385",683818,6962346,"Estádio Médio de Regeneração","FOD"
"131","388",710504,6961905,"Estádio Avançado de Regeneração","FOD"
"132","390",728298,6961596,"Estádio Médio de Regeneração","FOD"
"135","395",417038,6973203,"Estádio Médio de Regeneração","FOM"
"136","398",443836,6973454,"Estádio Avançado de Regeneração","FED"
"137","409",541458,6973705,"Estádio Avançado de Regeneração","FOM"
"138","413",575792,6973346,"Estádio Avançado de Regeneração","FOM"
"139","415",595107,6973169,"Estádio Avançado de Regeneração","FOM"
"140","419",630562,6973006,"Estádio Médio de Regeneração","FOM"
"141","421",648122,6972739,"Estádio Avançado de Regeneração","FOD"
"142","422",657270,6972659,"Estádio Médio de Regeneração","FOD"
"143","423",666168,6972597,"Estádio Médio de Regeneração","FOD"
"144","424",675054,6972476,"Estádio Médio de Regeneração","FOD"
"145","425",684186,6972352,"Estádio Avançado de Regeneração","FOD"
"148","428",710919,6971919,"Estádio Avançado de Regeneração","FOD"
"149","429",719589,6971746,"Estádio Avançado de Regeneração","FOD"
"152","438",425803,6983583,"Estádio Médio de Regeneração","FED"
"153","442",461604,6983630,"Estádio Médio de Regeneração","FOM"
"154","450",532530,6983723,"Estádio Avançado de Regeneração","FOM"
"155","453",559351,6983533,"Estádio Avançado de Regeneração","FOM"
"156","455",577203,6983418,"Estádio Avançado de Regeneração","FOM"
"157","456",585869,6982805,"Estádio Avançado de Regeneração","FOM"
"158","457",594918,6983266,"Estádio Médio de Regeneração","FOD"
"159","460",621727,6983064,"Estádio Médio de Regeneração","FOD"
"160","464",657383,6982663,"Estádio Avançado de Regeneração","FOD"
"161","465",666267,6982386,"Estádio Avançado de Regeneração","FOD"
"162","466",675208,6982414,"Estádio Avançado de Regeneração","FOD"
"163","467",684113,6982288,"Estádio Avançado de Regeneração","FOD"
"164","468",692831,6982312,"Estádio Avançado de Regeneração","FOD"
"166","483",527857,6879031,"Estádio Médio de Regeneração","FOM"
"168","494",461633,6993681,"Estádio Avançado de Regeneração","FED"
"169","495",470313,6993425,"Estádio Médio de Regeneração","FOM"
"170","507",577489,6993212,"Estádio Avançado de Regeneração","FOD"
"171","508",586171,6993328,"Estádio Médio de Regeneração","FOD"
"172","513",630756,6992945,"Estádio Médio de Regeneração","FOD"
"173","516",657509,6992617,"Estádio Avançado de Regeneração","FOD"
"175","518",675346,6992387,"Estádio Médio de Regeneração","FOD"
"176","519",684266,6992266,"Estádio Avançado de Regeneração","FOD"
"177","520",693258,6992148,"Estádio Médio de Regeneração","FOD"
"179","523",719956,6991656,"Estádio Avançado de Regeneração","FOD"
"181","529",523479,6883945,"Estádio Avançado de Regeneração","FOM"
"182","537",318560,7002272,"Estádio Avançado de Regeneração","FED"
"184","555",479267,7003502,"Estádio Médio de Regeneração","FOM"
"185","561",532574,7003693,"Estádio Avançado de Regeneração","FOM"
"186","562",541657,7003421,"Estádio Avançado de Regeneração","FOM"
"187","565",568190,7003200,"Estádio Avançado de Regeneração","FOM"
"188","566",577317,7003080,"Estádio Médio de Regeneração","FOM"
"189","568",595430,7003012,"Estádio Avançado de Regeneração","FOD"
"190","570",613266,7003137,"Estádio Avançado de Regeneração","FOD"
"191","571",621941,7002989,"Estádio Médio de Regeneração","FOD"
"192","573",639791,7002815,"Estádio Avançado de Regeneração","FOD"
"195","577",675478,7002372,"Estádio Avançado de Regeneração","FOD"
"196","578",684407,7002229,"Estádio Avançado de Regeneração","FOD"
"197","579",693395,7002083,"Estádio Avançado de Regeneração","FOD"
"200","597",336161,7012905,"Estádio Avançado de Regeneração","FED"
