"","UA","area.floresta1500","area.floresta1000","area.floresta750","area.floresta500","eucl1500","eucl1000","eucl750","eucl500","X.y","bdodmean","cecmean","claymean","nitrogenmean","phh2omean","sandmean","bio1","bio5","bio4","bio6","bio7","bio12","bio13","bio14","bio15","elev","X (Longitude)","Y (Latitude)","Freq","FT","stage","X","dur_uso_anos","n.changes","freq.fire","forest.type"
"2","10",498.96,228.42,116.64,61.56,180,8100,180,180,3,0.114,1.842,3.825,0.204,0.512,3.445,2926,3007,3258,2837,170,19610,2423,1125,262,35,610962,6783721,71.6670819835534,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",2,14,13,4,"FOD"
"3","15",281.07,161.19,106.92,50.22,201.246117974981,201.246117974981,270,9000,4,0.102,1.808,4.553,0.21,0.513,2.75,2919,3003,3211,2828,175,20194,2540,1102,278,314,611152,6793749,60.9226932668329,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",3,10,10,2,"FOD"
"4","21",670.68,301.32,169.29,75.33,7020,8010,8550,9000,5,0.107,1.848,4.25,0.216,0.52,2.768,2910,2994,3156,2820,174,20901,2661,1141,280,360,611157,6803667,95.3546453546454,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",4,13,9,1,"FOD"
"6","28",643.95,302.13,168.48,77.76,180,8100,8550,9000,8,0.105,1.848,4.173,0.204,0.51,2.802,2913,2995,3134,2824,171,19708,2523,1147,264,354,611252,6813639,94.4236059014754,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",7,21,9,1,"FOD"
"7","30",92.34,89.91,68.04,40.5,180,180,180,9720.41665773644,9,0.116,1.818,4.022,0.195,0.51,3.302,2927,3009,3227,2837,172,19484,2512,1101,266,70,628812,6813463,36.6616616616617,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",8,24,16,2,"FOD"
"8","37",633.42,281.88,166.86,76.95,10312.7590876545,11339.2856917885,11843.1245877091,12356.5771959714,11,0.1,2.065,4.645,0.249,0.53,2.345,2910,2991,3104,2822,169,24357,3180,1396,268,398,620128,6823515,83.2455480311011,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",9,19,9,1,"FOD"
"9","39",229.23,127.98,89.91,49.41,360,360,7579.26117771383,7961.31270582936,12,0.114,1.882,4.257,0.191,0.515,3.235,2928,3011,3273,2837,174,19724,2559,1116,264,96,637858,6823558,41.6020025031289,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",10,21,16,2,"FOD"
"11","41",75.33,66.42,47.79,33.21,180,201.246117974981,458.911756223351,8280.48911598826,14,0.119,1.925,4.63,0.179,0.508,2.902,2930,3009,3267,2842,167,16397,2028,951,240,35,655399,6823199,24.0680510382787,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",12,13,11,5,"FOD"
"12","47",696.6,313.47,176.58,76.95,6840,7830,8280,8820,15,0.102,1.99,4.265,0.224,0.52,2.96,2905,2987,3089,2817,170,25887,3393,1395,277,441,637830,6833303,100,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",13,6,6,1,"FOD"
"15","51",42.93,42.93,42.93,38.07,201.246117974981,201.246117974981,201.246117974981,201.246117974981,18,0.119,1.977,4.48,0.189,0.512,2.61,2932,3009,3257,2847,162,15110,1872,868,240,31,672837,6832914,16.9172932330827,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",16,18,12,2,"FOD"
"17","59",406.62,194.4,105.3,52.65,180,180,180,7292.22188362367,20,0.104,1.738,4.138,0.215,0.495,2.617,2912,2995,3113,2823,172,20801,2775,1139,283,459,655286,6843459,63.6249686638255,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",18,28,11,5,"FOD"
"18","70",331.29,151.47,100.44,59.13,180,180,180,180,23,0.096,1.752,4.685,0.259,0.51,2.248,2890,2970,2915,2810,160,15940,1890,978,207,1058,611754,6853750,40.6540880503145,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",21,29,12,7,"FOM"
"22","85",300.51,162,110.97,64.8,180,180,16202.2498437717,16830,28,0.102,1.755,5.235,0.262,0.51,2.082,2889,2979,3328,2801,178,16797,1683,1102,145,1002,558797,6863857,40.4116465863454,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",26,21,9,11,"FOM"
"24","89",29.16,29.16,29.16,26.73,201.246117974981,201.246117974981,201.246117974981,201.246117974981,30,0.098,1.712,5.258,0.273,0.512,1.822,2877,2960,3094,2794,166,16468,1753,1064,165,1272,594038,6863831,8.47159376571141,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",28,23,9,16,"FOM"
"26","97",306.99,120.69,90.72,61.56,180,180,180,7573.38101510811,32,0.112,1.78,4.132,0.186,0.495,3.158,2927,3011,3237,2837,174,15645,2155,781,318,188,664749,6863080,50.5773092369478,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",30,27,13,1,"FOD"
"27","98",379.08,186.3,94.77,51.03,180,180,180,180,33,0.112,1.81,4.097,0.176,0.498,3.267,2918,3001,3158,2830,171,17823,2455,862,325,350,673283,6862457,57.2004028197382,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",31,29,12,1,"FOD"
"28","104",632.61,299.7,166.05,71.28,180,4843.30465694654,5351.78474903466,5860.37541459589,34,0.101,1.818,4.752,0.261,0.53,2.138,2899,2991,3417,2810,181,15088,1528,946,138,763,532356,6873928,94.7976878612717,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",32,28,12,8,"FOM"
